ocel:eid,ocel:type:A,ocel:activity,ocel:timestamp,ocel:type:O
0,['Application_1085880569'],Create application,2023-01-03 16:00:00+00:00,[]
1,['Application_1085880569'],Submit,2023-01-03 16:00:00+00:00,[]
2,['Application_1085880569'],Complete,2023-01-03 16:00:00+00:00,[]
4,['Application_1085880569'],Create offer,2023-01-03 16:00:00+00:00,['Offer_213805292']
5,[],Send,2023-01-03 16:00:00+00:00,['Offer_213805292']
6,[],Call,2023-01-03 16:00:00+00:00,['Offer_213805292']
7,['Application_1085880569'],Create offer,2023-01-03 16:00:00+00:00,['Offer_644568599']
8,[],Send,2023-01-03 16:00:00+00:00,['Offer_644568599']
9,['Application_1085880569'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_644568599', 'Offer_213805292']"
10,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_644568599']
11,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_213805292']
87,['Application_2015287405'],Create application,2023-01-03 16:00:00+00:00,[]
89,['Application_2015287405'],Complete,2023-01-03 16:00:00+00:00,[]
90,['Application_2015287405'],Accept,2023-01-03 16:00:00+00:00,[]
91,['Application_2015287405'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1562802810']
92,[],Send,2023-01-03 16:00:00+00:00,['Offer_1562802810']
93,[],Call,2023-01-03 16:00:00+00:00,['Offer_1562802810']
94,['Application_2015287405'],Create offer,2023-01-03 16:00:00+00:00,['Offer_274484173']
95,[],Send,2023-01-03 16:00:00+00:00,['Offer_274484173']
96,['Application_2015287405'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1562802810', 'Offer_274484173']"
97,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_274484173']
98,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1562802810']
99,['Application_1461440233'],Create application,2023-01-03 16:00:00+00:00,[]
102,['Application_1461440233'],Accept,2023-01-03 16:00:00+00:00,[]
100,['Application_1461440233'],Submit,2023-01-03 16:00:00+00:00,[]
101,['Application_1461440233'],Complete,2023-01-03 16:00:00+00:00,[]
103,['Application_1461440233'],Create offer,2023-01-03 16:00:00+00:00,['Offer_750441445']
104,[],Send,2023-01-03 16:00:00+00:00,['Offer_750441445']
105,[],Call,2023-01-03 16:00:00+00:00,['Offer_750441445']
106,['Application_1461440233'],Create offer,2023-01-03 16:00:00+00:00,['Offer_800413592']
107,[],Send,2023-01-03 16:00:00+00:00,['Offer_800413592']
108,['Application_1461440233'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_800413592', 'Offer_750441445']"
109,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_800413592']
110,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_750441445']
111,['Application_1234535641'],Create application,2023-01-03 16:00:00+00:00,[]
112,['Application_1234535641'],Submit,2023-01-03 16:00:00+00:00,[]
113,['Application_1234535641'],Complete,2023-01-03 16:00:00+00:00,[]
114,['Application_1234535641'],Accept,2023-01-03 16:00:00+00:00,[]
115,['Application_1234535641'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1128644000']
116,[],Send,2023-01-03 16:00:00+00:00,['Offer_1128644000']
117,[],Call,2023-01-03 16:00:00+00:00,['Offer_1128644000']
118,['Application_1234535641'],Create offer,2023-01-03 16:00:00+00:00,['Offer_794719051']
119,[],Send,2023-01-03 16:00:00+00:00,['Offer_794719051']
120,['Application_1234535641'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_794719051', 'Offer_1128644000']"
121,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_794719051']
122,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1128644000']
123,['Application_340403559'],Create application,2023-01-03 16:00:00+00:00,[]
124,['Application_340403559'],Submit,2023-01-03 16:00:00+00:00,[]
125,['Application_340403559'],Complete,2023-01-03 16:00:00+00:00,[]
126,['Application_340403559'],Accept,2023-01-03 16:00:00+00:00,[]
127,['Application_340403559'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1088813920']
128,[],Send,2023-01-03 16:00:00+00:00,['Offer_1088813920']
129,[],Call,2023-01-03 16:00:00+00:00,['Offer_1088813920']
130,['Application_340403559'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1585131667']
131,[],Send,2023-01-03 16:00:00+00:00,['Offer_1585131667']
132,['Application_340403559'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1088813920', 'Offer_1585131667']"
133,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1585131667']
134,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1088813920']
212,['Application_2068443797'],Create application,2023-01-03 16:00:00+00:00,[]
213,['Application_2068443797'],Submit,2023-01-03 16:00:00+00:00,[]
214,['Application_2068443797'],Complete,2023-01-03 16:00:00+00:00,[]
215,['Application_2068443797'],Accept,2023-01-03 16:00:00+00:00,[]
216,['Application_2068443797'],Create offer,2023-01-03 16:00:00+00:00,['Offer_288441629']
217,[],Send,2023-01-03 16:00:00+00:00,['Offer_288441629']
218,[],Call,2023-01-03 16:00:00+00:00,['Offer_288441629']
219,['Application_2068443797'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1627163731']
220,[],Send,2023-01-03 16:00:00+00:00,['Offer_1627163731']
221,['Application_2068443797'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1627163731', 'Offer_288441629']"
222,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1627163731']
223,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_288441629']
240,['Application_1723779444'],Create application,2023-01-03 16:00:00+00:00,[]
241,['Application_1723779444'],Submit,2023-01-03 16:00:00+00:00,[]
242,['Application_1723779444'],Complete,2023-01-03 16:00:00+00:00,[]
243,['Application_1723779444'],Accept,2023-01-03 16:00:00+00:00,[]
244,['Application_1723779444'],Create offer,2023-01-03 16:00:00+00:00,['Offer_517746250']
245,[],Send,2023-01-03 16:00:00+00:00,['Offer_517746250']
246,[],Call,2023-01-03 16:00:00+00:00,['Offer_517746250']
247,['Application_1723779444'],Create offer,2023-01-03 16:00:00+00:00,['Offer_2006327366']
248,[],Send,2023-01-03 16:00:00+00:00,['Offer_2006327366']
249,['Application_1723779444'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_517746250', 'Offer_2006327366']"
250,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_2006327366']
251,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_517746250']
280,['Application_952532843'],Create application,2023-01-03 16:00:00+00:00,[]
281,['Application_952532843'],Submit,2023-01-03 16:00:00+00:00,[]
282,['Application_952532843'],Complete,2023-01-03 16:00:00+00:00,[]
283,['Application_952532843'],Accept,2023-01-03 16:00:00+00:00,[]
285,[],Send,2023-01-03 16:00:00+00:00,['Offer_575845027']
286,[],Call,2023-01-03 16:00:00+00:00,['Offer_575845027']
287,['Application_952532843'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1149798095']
288,[],Send,2023-01-03 16:00:00+00:00,['Offer_1149798095']
289,['Application_952532843'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_575845027', 'Offer_1149798095']"
290,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1149798095']
291,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_575845027']
292,['Application_1886382319'],Create application,2023-01-03 16:00:00+00:00,[]
293,['Application_1886382319'],Complete,2023-01-03 16:00:00+00:00,[]
294,['Application_1886382319'],Accept,2023-01-03 16:00:00+00:00,[]
295,['Application_1886382319'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1658433857']
296,[],Send,2023-01-03 16:00:00+00:00,['Offer_1658433857']
297,[],Call,2023-01-03 16:00:00+00:00,['Offer_1658433857']
298,['Application_1886382319'],Create offer,2023-01-03 16:00:00+00:00,['Offer_159153109']
299,[],Send,2023-01-03 16:00:00+00:00,['Offer_159153109']
300,['Application_1886382319'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_159153109', 'Offer_1658433857']"
301,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_159153109']
302,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1658433857']
303,['Application_1250134245'],Create application,2023-01-03 16:00:00+00:00,[]
304,['Application_1250134245'],Submit,2023-01-03 16:00:00+00:00,[]
305,['Application_1250134245'],Complete,2023-01-03 16:00:00+00:00,[]
306,['Application_1250134245'],Accept,2023-01-03 16:00:00+00:00,[]
307,['Application_1250134245'],Create offer,2023-01-03 16:00:00+00:00,['Offer_514594443']
308,[],Send,2023-01-03 16:00:00+00:00,['Offer_514594443']
309,[],Call,2023-01-03 16:00:00+00:00,['Offer_514594443']
310,['Application_1250134245'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1450683092']
311,[],Send,2023-01-03 16:00:00+00:00,['Offer_1450683092']
313,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1450683092']
314,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_514594443']
329,['Application_74505494'],Create application,2023-01-03 16:00:00+00:00,[]
330,['Application_74505494'],Submit,2023-01-03 16:00:00+00:00,[]
331,['Application_74505494'],Complete,2023-01-03 16:00:00+00:00,[]
332,['Application_74505494'],Accept,2023-01-03 16:00:00+00:00,[]
333,['Application_74505494'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1722242928']
334,['Application_74505494'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1398220931']
335,[],Send,2023-01-03 16:00:00+00:00,['Offer_1398220931']
336,[],Send,2023-01-03 16:00:00+00:00,['Offer_1722242928']
337,[],Call,2023-01-03 16:00:00+00:00,['Offer_1722242928']
338,['Application_74505494'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1398220931', 'Offer_1722242928']"
339,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1398220931']
340,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1722242928']
369,['Application_1068218912'],Create application,2023-01-03 16:00:00+00:00,[]
370,['Application_1068218912'],Submit,2023-01-03 16:00:00+00:00,[]
371,['Application_1068218912'],Complete,2023-01-03 16:00:00+00:00,[]
372,['Application_1068218912'],Accept,2023-01-03 16:00:00+00:00,[]
373,['Application_1068218912'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1214293885']
374,[],Send,2023-01-03 16:00:00+00:00,['Offer_1214293885']
