event_id,A,event_activity,event_timestamp,O,event_CaseID,event_variant
0,['Application_1085880569'],Create application,42370.58704,[],Application_1085880569,[0]
1,['Application_1085880569'],Submit,42370.58704,[],Application_1085880569,[0]
2,['Application_1085880569'],Complete,42371.51593,[],Application_1085880569,[0]
3,['Application_1085880569'],Accept,42371.52811,[],Application_1085880569,[0]
4,['Application_1085880569'],Create offer,42371.53016,['Offer_213805292'],Application_1085880569,[0]
5,[],Send,42371.53138,['Offer_213805292'],Application_1085880569,[0]
6,[],Call,42371.53138,['Offer_213805292'],Application_1085880569,[0]
7,['Application_1085880569'],Create offer,42398.44146,['Offer_644568599'],Application_1085880569,[0]
8,[],Send,42398.44161,['Offer_644568599'],Application_1085880569,[0]
9,['Application_1085880569'],Cancel application,42429.3339,"['Offer_644568599', 'Offer_213805292']",Application_1085880569,[0]
10,[],Cancel offer,42429.3339,['Offer_644568599'],Application_1085880569,[0]
11,[],Cancel offer,42429.3339,['Offer_213805292'],Application_1085880569,[0]
12,['Application_42838382'],Create application,42370.74918,[],Application_42838382,[3]
13,['Application_42838382'],Submit,42370.74918,[],Application_42838382,[3]
14,['Application_42838382'],Complete,42371.66967,[],Application_42838382,[3]
15,['Application_42838382'],Accept,42371.68418,[],Application_42838382,[3]
16,['Application_42838382'],Create offer,42371.69021,['Offer_685676472'],Application_42838382,[3]
17,['Application_42838382'],Create offer,42371.69048,['Offer_933028395'],Application_42838382,[3]
18,[],Send,42371.69065,['Offer_933028395'],Application_42838382,[3]
19,[],Send,42371.69065,['Offer_685676472'],Application_42838382,[3]
20,[],Call,42371.69065,['Offer_685676472'],Application_42838382,[3]
21,['Application_42838382'],Create offer,42398.44239,['Offer_1372889733'],Application_42838382,[3]
22,[],Send,42398.4426,['Offer_1372889733'],Application_42838382,[3]
23,['Application_42838382'],Cancel application,42429.33406,"['Offer_933028395', 'Offer_685676472', 'Offer_1372889733']",Application_42838382,[3]
24,[],Cancel offer,42429.33406,['Offer_1372889733'],Application_42838382,[3]
25,[],Cancel offer,42429.33406,['Offer_933028395'],Application_42838382,[3]
26,[],Cancel offer,42429.33406,['Offer_685676472'],Application_42838382,[3]
44,['Application_1553362978'],Create application,42371.43546,[],Application_1553362978,[3]
45,['Application_1553362978'],Submit,42371.43546,[],Application_1553362978,[3]
46,['Application_1553362978'],Complete,42373.40184,[],Application_1553362978,[3]
47,['Application_1553362978'],Accept,42373.51183,[],Application_1553362978,[3]
48,['Application_1553362978'],Create offer,42373.51593,['Offer_942936446'],Application_1553362978,[3]
49,[],Send,42373.5163,['Offer_942936446'],Application_1553362978,[3]
50,[],Call,42373.5163,['Offer_942936446'],Application_1553362978,[3]
51,['Application_1553362978'],Create offer,42374.75943,['Offer_517896136'],Application_1553362978,[3]
52,[],Send,42374.75977,['Offer_517896136'],Application_1553362978,[3]
53,['Application_1553362978'],Create offer,42398.44489,['Offer_135958834'],Application_1553362978,[3]
54,[],Send,42398.44512,['Offer_135958834'],Application_1553362978,[3]
55,['Application_1553362978'],Cancel application,42429.3341,"['Offer_135958834', 'Offer_517896136', 'Offer_942936446']",Application_1553362978,[3]
56,[],Cancel offer,42429.3341,['Offer_135958834'],Application_1553362978,[3]
57,[],Cancel offer,42429.3341,['Offer_517896136'],Application_1553362978,[3]
58,[],Cancel offer,42429.3341,['Offer_942936446'],Application_1553362978,[3]
59,['Application_1197857445'],Create application,42371.43971,[],Application_1197857445,[2]
60,['Application_1197857445'],Submit,42371.43971,[],Application_1197857445,[2]
61,['Application_1197857445'],Handle leads,42371.44868,[],Application_1197857445,[2]
62,['Application_1197857445'],Complete,42371.44908,[],Application_1197857445,[2]
63,['Application_1197857445'],Accept,42382.68215,[],Application_1197857445,[2]
